Column1,Chinese,English
480,麒麟鸡,Steamed Sliced Chicken with Mushrooms and Vegetables
481,荠菜鸡片,Sautéed Sliced Chicken with Mustard Green
482,鲜蘑包公鸡,Braised Chicken with Fresh Mushrooms
483,沙茶鸡煲,Braised Chicken with Satay Sauce in Casserole
484,沙姜焗软鸡,Steamed Salted Chicken with Ginger
485,砂锅滑鸡,Stewed Chicken and Vegetables in Casserole
486,烧鸡肉串,Roast Chicken Kebabs
487,时菜炒鸡片,Sautéed Sliced Chicken with Seasonal Vegetable
488,江南百花鸡,"Chicken, South China Style"
489,四川辣子鸡,"Sautéed Diced Chicken with Chili Pepper, Sichuan Style"
490,酥炸鸡胸,Deep-Fried Chicken Breast
491,铁板豆豉鸡,Chicken with Black Bean Sauce Served on a Sizzling Iron Plate
492,铁板掌中宝,Chicken Feet Served on a Sizzling Iron Plate
493,鲜人参炖土鸡,Braised Chicken with Ginseng
494,香扒春鸡,Grilled Spring Chicken
495,杏仁百花脆皮鸡,Crispy Chicken with Shrimp Paste and Almonds
496,杏香橙花鸡脯,Sautéed Chicken Breast with Almonds in Orange Sauce
497,腰果鸡丁,Sautéed Diced Chicken and Cashew Nuts
498,一品蒜花鸡,Deep-Fried Chicken with Garlic
499,鱼香鸡片,Yu-Shiang Chicken Slices (Sautéed with Spicy Garlic Sauce)
500,汁烧鸡肉,Stewed Chicken in Sauce
501,美极掌中宝,Sautéed Chicken Feet in Maggi Sauce
502,青瓜鸡丁,Sautéed Diced Chicken with Cucumber
503,什菜鸡,Sautéed Chicken with Assorted Vegetables
504,芥兰鸡,Sautéed Chicken with Chinese Broccoli
505,雪豆鸡,Sautéed Chicken with Snow Peas
506,甜酸鸡,Sweet and Sour Chicken
507,陈皮鸡,Tangerine-Flavored Chicken
508,干烧鸡,Dry-Braised Chicken in Chili Sauce
509,柠檬鸡,Lemon Chicken
510,湖南鸡,"Chicken, Hunan Style"
511,子姜鸡,Sautéed Chicken with Ginger Shoots
512,豆苗鸡片,Sautéed Sliced Chicken with Pea Sprouts
513,炸八块鸡,Fried Chicken (8 Pieces)
514,三杯鸡,Chicken with Three Cups Sauce
515,葱油鸡,Chicken with Scallion Oil
516,香酥鸡王,Crispy Chicken
517,金汤烩鸡脯,Braised Chicken Breast in Pumpkin Soup
518,芫爆鹌鹑脯,Sautéed Quail Breast with Coriander
519,枣生栗子鸡,"Stewed Chicken with Jujubes, Peanuts and Chestnuts"
520,西兰花鸡片,Sautéed Chicken Slices with Broccoli
521,白灵菇鸡片,Sautéed Chicken Slices with Mushrooms
522,芫爆鸡片,Sautéed Chicken Slices with Coriander
523,芦笋鸡片,Sautéed Chicken Slices with Asparagus
524,鸡丁核桃仁,Sautéed Diced Chicken with Walnuts
525,甜酸鸡腿肉,Sweet and Sour Chicken Leg Meat
526,怪味鸡丝,Special Flavored Shredded Chicken
527,口水鸡,Steamed Chicken with Chili Sauce
528,鱼香碎米鸡,Yu-Shiang Diced Chicken (Sautéed with Spicy Garlic Sauce)
529,葱姜油淋鸡,Chicken with Ginger and Scallion Oil
530,菜远鸡球,Sautéed Chicken Balls with Green Vegetable
531,豉汁黄毛鸡,Sautéed Chicken with Black Bean Sauce
532,子罗炒鸡片,Sautéed Sliced Chicken with Ginger and Pineapple
533,龙凤琵琶豆腐,"Steamed Tofu with Egg, Chicken and Shrimp"
534,糖醋鸡块,Chicken Braised in Sweet and Sour Sauce
535,蜜糖子姜鸡,Honey-Stewed Chicken with Ginger Shoots
536,苹果咖喱鸡,Curry Chicken with Apple
537,糊辣仔鸡,Pepper Chicken
538,美极葱香鸡脆骨,Sautéed Chicken Gristle with Scallion in Maggi Sauce
539,清蒸童子鸡,Steamed Spring Chicken
540,贵妃鸡,Deep-Fried Chicken
541,江南百花鸡,Steamed Chicken Skin with Shrimp Paste
542,烤鸡,Roast Chicken
543,符离集烧鸡,"Red-Cooked Chicken, Fuliji Style"
544,道口烧鸡,"Red-Cooked Chicken, Daokou Style"
545,酱鸡,Chicken in Brown Sauce
546,熏鸡,Smoked Chicken
547,五香鸡,Spiced Chicken
548,椒盐鸡,Chicken with Spiced Salt
549,麻辣鸡,Chicken with Chili and Sichuan Pepper
550,茶香鸡,Red-Cooked Chicken with Tea Falvor
551,金钱鸡,Grilled Ham and Chicken
552,芝麻鸡,Boiled Chicken with Sesame and Spicy Sauce
553,叫化鸡,Beggar’s Chicken (Baked Chicken)
554,江米酿鸡,Chicken Stuffed with Glutinous Rice
555,富贵鸡,Steamed Chicken with Stuffing
556,纸包鸡,Fried Chicken in Tin Foil
557,清蒸全鸡,Steamed Whole Chicken
558,半口蘑蒸鸡,Steamed Chicken with Truffle
559,炸鸡肫肝,Fried Chicken Gizzards
560,一鸡三吃,A Chicken Prepared in Three Ways
561,牡丹珠圆鸡,Chicken and Crab Roe with Shrimp Balls
562,广州文昌鸡,Sliced Chicken with Chicken Livers and Ham
563,荸荠鸡片,Sautéed Chicken Slices with Water Chestnuts
564,时蔬鸡片,Sautéed Chicken Slices with Seasonal Vegetable
565,汽锅鸡翅,Steam Pot Chicken Wings
566,清蒸全鸭,Steamed Whole Duck
567,柴把鸭,Steamed Duck with Bamboo Shoots and Ham
568,脆皮鸳鸯鸭,Two-Colored Crispy Duck with Minced Shrimp Stuffing
569,全聚德烤鸭,Quanjude Roast Duck
570,全蝎望京鸭,Fried Duck Meat with Scorpions
571,凤眼秋波鸭包,Deep-Fried Duck Rolls and Quail Eggs
572,凤眼秋波芋艿,Deep-Fried Taro Roots and Quail Eggs
573,红曲鸭膀,Braised Duck Wings Seasoned with Red Yeast
574,罗汉鸭,Steamed Duck with Assorted Vegetables
575,面鱼儿烧鸭,Roast Duck with Fish-Like Dough
576,双冬鸭,Sautéed Duck Meat with Snow Peas and Mushrooms
577,子姜鸭,Sautéed Duck with Ginger Shoots
578,魔芋烧鸭,Braised Duck with Shredded Konjak
579,三鲜鸭包芋艿,Deep-Fried Duck Rolls Stuffed with Taro
580,五香鸭子,Spiced Duck with Tofu
581,盐烤荷叶鸭,Salt Baked Duck in Lotus Leaf
582,鸭粒响铃,Fried Diced Duck
583,青椒鸭肠,Sautéed Duck Intestines with Green Pepper
584,糟溜鸭三白,"Braised Sliced Duck Meat, Duck Webs and Duck Livers"
585,四川樟茶鸭(配荷叶饼),"Smoked Duck, Sichuan Style (Served with Lotus-Leaf-Like Pancake)"
586,香熏鸭腰,Smoked Duck Kernel
587,盐烤荷叶鸭,Salt-Baked Duck in Lotus Leaf
588,口水鸭肠,Duck Intestines with Chili Sauce
589,火爆川椒鸭舌,Sautéed Duck Tongues with Sichuan Chili
590,八珍发菜扒鸭,Braised Duck with Assorted Meat and Thread Moss
591,赛海蜇拌火鸭丝,Shredded Roast Duck with White Fungus
592,蜜汁烟熏鸭肉卷,Smoked Duck Rolls with Honey Sauce
593,香荽鸭翼,Sautéed Duck Wings with Coriander
594,香酱爆鸭丝,Sautéed Shredded Duck in Soy Sauce
595,北菇扒大鸭,Braised Duck with Black Mushrooms and Vegetables
596,北京烤鸭,Beijing Roast Duck
597,彩椒炒火鸭柳,Sautéed Roast Duck with Bell Pepper
598,虫草炖老鸭,Stewed Duck with Aweto
599,蛋酥樟茶鸭,Fried Smoked Duck with Egg Crust
600,冬菜扣大鸭,Braised Duck with Preserved Vegetables
601,参杞炖老鸭,Stewed Duck with Ginseng and Chinese Wolfberry
602,豆豉芦笋炒鸭柳,Sautéed Sliced Duck with Asparagus in Black Bean Sauce
603,火燎鸭心,Sautéed Duck Hearts
604,酱爆鸭片,Sautéed Sliced Duck in Soy Sauce
605,罗汉扒大鸭,Braised Duck with Assorted Vegetables
606,樱桃汁煎鸭胸,Pan-Fried Duck Breast in Cherry Sauce
607,蜜汁鸭胸,Pan-Fried Duck Breast with Honey Sauce
608,汽锅虫草炖老鸭,Stewed Duck with Aweto in Steam Pot
609,芋茸香酥鸭,Deep-Fried Boneless Duck with Taro Puree
610,雀巢鸭宝,Sautéed Diced Duck Meat in Taro Basket
611,黑椒焖鸭胗,Braised Duck Gizzards with Black Pepper
612,烩鸭四宝,Braised Four Delicacies of Duck
613,黄豆煮水鸭,Stewed Duck with Soya Beans
614,生炒鸭松,Sautéed Minced Duck on Lettuce Leaf
615,酸梅鸭,Braised Duck with Plum Sauce
616,香辣炒板鸭,Sautéed Salted Duck with Hot Spicy Sauce
617,香酥脱骨鸭,Crispy Boneless Duck
618,香酥鸭荷叶夹,Deep-Fried Duck in Lotus Leaf
619,酥皮鸭丝盅,Crispy Shredded Duck
620,荔茸鹅肝卷,Deep-Fried Goose Liver Roll with Taro
621,辽参扣鹅掌,Braised Goose Webs with Sea Cucumber
622,菜头烧板鹅,Braised Dried Goose and Lettuce in Spicy Sauce
623,松茸扒鹅肝,Pan-Fried Goose Liver with Matsutake
624,香煎鹅肝,Pan-Fried Goose Liver
625,野菌鹅肝,Pan-Fried Goose Liver with Mushrooms
626,川式煎鹅肝,Fried Goose Liver，Sichuan Style
627,潮州烧雁鹅,"Roast Goose, Chaozhou Style"
628,红烧石歧项鸽,Braised Pigeon
629,冬草花炖鹧鸪,Stewed Partridge with Aweto
630,豆豉鹌鹑脯,Braised Quail Breast with Black Bean Sauce
631,酥香鹌鹑,Crispy Quail with Sesame
632,椒麻鹌鹑腿,Stewed Quail Legs with Pepper and Chili
633,XO酱爆乳鸽脯,Sautéed Pigeon Breast in XO Sauce
634,麻辣鹌鹑脯,Braised Spicy Quail Breast
635,北菇云腿蒸乳鸽,Steamed Pigeon with Mushrooms and Ham
636,菜片乳鸽松,Sautéed Minced Pigeon with Sliced Vegetables
637,脆皮乳鸽,Crispy Pigeon
638,吊烧乳鸽王,Roast Pigeon
639,荷香蒸乳鸽,Steamed Pigeon in Lotus Leaves
640,红酒烩鸽脯,Braised Pigeon Breast in Red Wine
641,金柠乳鸽脯,Sautéed Pigeon Breast with Lemon Sauce
642,上素炒鸽脯,Sauteed Pigeon Breast with Vegetables
643,烧汁香煎鸽脯,Pan-Fried Pigeon Breast
644,生炒乳鸽松,Sautéed Minced Pigeon on Lettuce Leaf
645,时菜炒鸽脯,Sautéed Sliced Pigeon Breast with Seasonal Vegetable
646,天麻炖乳鸽,Stewed Pigeon with Gastrodia Tuber
647,云腿骨香炒鸽片,Sautéed Sliced Pigeon with Ham
648,咸鸭蛋,Salted Duck Egg
649,卤蛋,Marinated Egg
650,煮鸡蛋,Boiled Egg
651,糟蛋,Egg Preserved in Rice Wine
652,荷包蛋,Poached Egg
653,煎蛋,Fried Eggs
654,香椿煎蛋,Fried Eggs with Chopped Chinese Toon Leaves
655,蟹肉芙蓉蛋,Crab Meat with Egg White
656,虾酱炒鸡蛋,Scrambled Eggs with Shrimp Paste
657,韭菜炒鸡蛋,Scrambled Eggs with Chinese Chives
658,葱花炒鸡蛋,Scrambled Eggs with Scallion
659,蛤蜊蒸蛋,Steamed Egg with Clams
660,鸡肝炒蛋,Scrambled Eggs with Chicken Liver
661,白菌炒蛋,Scrambled Eggs with Mushroom
662,火腿炒蛋,Scrambled Eggs with Ham
663,燕窝鸽蛋,Bird’s Nest with Pigeon Eggs
664,时菜鹑蛋,Quail Egg with Seasonal Vegetable
665,鹑蛋炒碎肉,Stir-Fried Minced Pork and Quail Egg
666,菜甫肉碎煎蛋,Pan-Fried Eggs with Minced Pork and Vegetables
667,蛋羹,Steamed Egg Custard
668,茶树菇炒鹿片,Sautéed Venison Fillet with Tea Tree Mushrooms
669,馋嘴蛙,Sautéed Bullfrog in Chili Sauce
670,笼仔剁椒牛蛙,Steamed Bullfrog with Chili Pepper
671,泡椒牛蛙,Sautéed Bullfrog with Pickled Peppers
672,麻辣玉兔腿,Sautéed Rabbit Leg with Hot Spicy Sauce
673,炸五丝筒全蝎,Deep-Fried Rolls with Five Shreds Filling and Scorpion
674,鱼腥草拌米线,Special Herbal Rice Noodles
675,辣味红扒鹿筋,Spicy Venison Tendon
676,炸炒脆鹿柳,Deep-Fried Crispy Venison Fillets
677,皇宫煎鹿柳,Stir-Fried Venison with Black Pepper
678,提篮鹿肉,Stewed Venison
679,水煮鹿里脊,Venison Tenderloin in Hot Chili Oil
680,山城血旺,Sautéed Eel with Duck Blood Curd
681,红烧家兔,Braised Rabbit
682,红烧鹿肉,Braised Venison in Brown Sauce
683,炸麻雀,Fried Sparrow
684,麻辣鹿筋,Braised Spicy Venison Tendon
685,豆苗羊肚菌,Braised Yellow Fungus with Pea Sprouts
686,川菜白灵菇皇,Braised Mushrooms in Chili Sauce
687,干锅茶树菇,Griddle Cooked Tea Tree Mushrooms
688,荷塘焖什菌,Stewed Assorted Mushrooms with Lotus Root
689,黄焖山珍菌,Braised Mushrooms in Brown Sauce
690,蚝皇原汁白灵菇 （每位）,Braised Mushrooms in Oyster Sauce（per person）
691,鸡油牛肝菌,Braised Boletus in Chicken Oil
692,三色鲍鱼菇,Sautéed Abalone Mushrooms and Vegetables
693,砂锅三菌,Assorted Mushrooms in Casserole
694,烧汁烩南野山菌,Braised Mushrooms in BBQ Sauce
695,山菌烧豆腐,Braised Tofu with Mushrooms
696,双仙采灵芝,Sautéed Mushrooms with Broccoli
697,双鲜扒鸡腿菇,Braised Mushrooms and Vegetables
698,酥炸山菌,Deep-Fried Mushrooms
699,酸辣炒姬菇,Sautéed Mushroom with Hot and Sour Sauce
700,泰式煮什菌,"Boiled Assorted Mushrooms, Thai Style"
701,鲜蘑炒蜜豆,Sautéed Mushrooms with Sweetened Beans
702,香草蒜茸炒鲜蘑,Sautéed Fresh Mushrooms with Garlic and Vanilla
703,香菇扒菜胆,Braised Green Vegetable with Black Mushrooms
704,野菌烧豆腐,Braised Tofu with Mushrooms
705,鱼香牛肝菌,Yu-Shiang Boletus (Sautéed with Spicy Garlic Sauce)
706,鲍汁花菇,Braised Mushrooms in Abalone Sauce
707,烩滑籽菇,Braised Mushrooms
708,干贝鲜腐竹草菇,Braised Dried Scallops with Straw Mushrooms and Tofu Skin
709,清汤干贝鲜蘑,Dried Scallops and Mushrooms Consommé
710,四宝菌烧素鸡,Braised Deep-Fried Tofu with Mushrooms
711,菜胆白灵菇,Braised Mushrooms and Green Vegetable
712,红烧白灵菇,Braised Mushrooms with Vegetables
713,松子香菇,Braised Black Mushrooms with Pine Nuts
714,白灵菇扒鲍片,Braised Sliced Abalone with Mushrooms
715,鲍鱼海珍煲,Braised Abalone and Seafood in Casserole
716,百花鲍鱼卷,Steamed Abalone Rolls Stuffed with Minced Shrimp
717,鲍鱼烧牛头,Braised Abalone with Ox Head
718,鲍鱼珍珠鸡,Steamed Glutinous Rice Mixed with Diced Abalone and Chicken
719,碧绿香肘扣鲍片,Braised Sliced Abalone with Pig Knuckle and Vegetables
720,碧绿原汁鲍鱼,Braised Abalone with Vegetables
721,锅粑鲍鱼,Abalone Sauce on Deep-Fried Rice Cake
722,蚝皇扣干鲍,Braised Dried Abalone in Oyster Sauce
723,蚝皇鲜鲍片,Braised Sliced Abalone in Oyster Sauce
724,红烧鲍片,Braised Sliced Abalone
725,碧绿鲍片,Braised Sliced Abalone with Vegetables
726,百花酿鲍片,Steamed Sliced Abalone with Egg White
727,红烧鲍翅燕,"Braised Abalone, Shark’s Fin and Bird's Nest"
728,红烧鲍鱼,Braised Abalone
729,红烧南非鲍,Braised South African Abalone
730,金元鲍红烧肉,Braised Pork with Abalone
731,龙井金元鲍,Braised Abalone with Longjing Tea
732,美国红腰豆扣鲍片,Braised Sliced Abalone with American Kidney Beans
733,银芽炒鲍丝,Sautéed Shredded Abalone with Bean Sprouts
734,金蟾望月,Braised Frog-Shaped Abalone
735,鲍参翅肚羹,Shark’s Fin Soup with Shredded Abalone
736,翅汤浸什菌,Braised Assorted Mushrooms in Shark’s Fin Soup
737,浓汤鸡煲翅（供3－5人用）,Braised Shark’s Fin in Chicken Broth (Serves 3 to 5 Persons)
738,川式红烧鱼翅,"Braised Shark’s Fin, Sichuan Style"
739,高汤鸡丝生翅,Shark’s Fin Soup with Shredded Chicken
740,桂花炒鱼翅,Sautéed Shark’s Fin with Crab Meat and Bean Sprouts
741,红梅蟹粉炒桂花翅,Sautéed Shark’s Fin with Crab Meat and Chinese Herbs
742,红烧大鲍翅,Braised Shark’s Fin with Brown Sauce
743,红烧鸡丝翅,Braised Shark’s Fin with Shredded Chicken
744,花胶菜胆炖竹笙翅,Stewed Shark’s Fin with Fish Maw and Bamboo Fungus
745,火龙燕液翅,Boiled Shark’s Fin and Bird's Nest Served in Dragon Fruit
746,鸡煲海虎翅,Braised Tiger Shark’s Fin in Chicken Soup
747,鸡煲牙捡翅,Braised Shark’s Fin in Chicken Soup
748,金肘菜胆炖散翅,Stewed Shark’s Fin with Green Vegeteble and Pig Knuckle
749,鹿茸养生翅,Shark’s Fin Soup with Deer Antler
750,木瓜炖翅,Shark’s Fin Soup with Papaya
751,木瓜海虎翅,Supreme Shark’s Fin Soup with Papaya
752,浓汤鸡火翅,Shark’s Fin in Chicken Soup
753,浓汤鱼肚烩散翅,Fish Maw with Shark’s Fin Soup
754,浓汁鲍丝翅,Braised Shark’s Fin and Shredded Abalone
755,砂锅肚丝翅,Braised Shredded Fish Maw and Shark’s Fin in Casserole
756,砂锅菇丝翅,Braised Shredded Mushrooms and Shark’s Fin in Casserole
757,砂锅鸡煲翅,Braised Shark’s Fin in Chicken Soup
758,砂锅裙边翅,Braised Shredded Turtle Rim and Shark’s Fin in Casserole
759,砂锅炒翅,Sautéed Shark’s Fin in Casserole
760,松茸烩鱼翅,Braised Shark’s Fin with Mushrooms
761,夏威夷木瓜炖翅,Stewed Shark’s Fin with Hawaiian Papaya
762,瑶柱鸡丝烩生翅,Braised Shark’s Fin with Shredded Chicken and Scallops
763,红烧排翅,Braised Superior Shark’s Fin in Brown Sauce
764,干贝炖烧翅,Stewed Scallops in Shark’s Fin Soup
765,红烧散翅,Braised Shark’s Fin in Brown Sauce
766,海虎翅(每两),Supreme Shark’s Fin Soup (50g Portion)
767,金山勾翅(每两）,Superior Shark’s Fin Soup (50g Portion)
768,原罐小排翅,Small Shark’s Fin Soup
769,海鲜大煲翅,Braised Shark’s Fin and Seafood
770,浓汁三鲜鱼翅,Three Delicacies and Shark’s Fin Soup
771,浓汁四宝鱼翅,Four Delicacies and Shark’s Fin Soup
772,竹笙笋鸡丝翅,Braised Shark’s Fin Soup with Shredded Chicken and Bamboo Fungus
773,黄焖鱼翅,Braised Shark’s Fin in Rice Wine Sauce
774,山东浓汁鱼翅捞饭,"Braised Shark’s Fin in Thick Soup with Rice, Shan Dong Style"
775,干焅鱼翅,Stewed Shark’s Fin
776,白扒鱼翅,Braised Shark’s Fin in White Sauce
777,红扒鱼翅,Braised Shark’s Fin in Brown Sauce
778,三丝翅羹,"Braised Ham, Mushroom and Bamboo Shoot in Shark's Fin Soup"
779,至尊蟹黄干捞翅,Sautéed Shark's Fin with Crab Roe
780,蟹黄金钩翅,Braised Shark’s Fin with Crab Roe
781,泡菜鱼翅羹,Shark’s Fin and Pickles Soup
782,鲍汁北菇鹅掌,Braised Goose Webs and Black Mushrooms in Abalone Sauce
783,鲍汁葱烧辽参,Braised Sea Cucumber in Abalone Sauce
784,怪味海参,Special Flavored Sea Cucumber
785,鲍汁豆腐,Braised Tofu in Abalone Sauce
786,鲍汁鹅肝,Braised Goose Liver in Abalone Sauce
787,鲍汁鹅掌扣辽参,Braised Sea Cucumber and Goose Webs in Abalone Sauce
788,鲍汁花菇烧鹅掌,Braised Goose Webs and Mushrooms in Abalone Sauce
789,鲍汁花胶扣辽参,Braised Sea Cucumber and Fish Maw in Abalone Sauce
790,烧海参蹄筋,Braised Sea Cucumber and Pork Tendon
791,鲍汁鸡腿菇,Braised Mushrooms in Abalone Sauce
792,鲍汁煎鹅肝,Pan-Fried Goose Liver (Foie Gras) in Abalone Sauce
793,鲍汁扣白灵菇,Braised Mushrooms in Abalone Sauce
794,鲍汁扣鹅掌,Braised Goose Webs in Abalone Sauce
795,鲍汁扣花胶皇,Braised Fish Maw in Abalone Sauce
796,鲍汁扣辽参,Braised Sea Cucumber in Abalone Sauce
797,鲍汁扣三宝,"Braised Sea Cucumber, Goose Webs and Mushrooms in Abalone Sauce"
798,鲍汁牛肝菌,Braised Boletus in Abalone Sauce
799,白玉蒸扇贝,Steamed Scallops with Tofu
800,北极贝刺身,Scallops Sashimi
801,碧绿干烧澳带,Dry-Braised Scallops with Vegetables
802,碧绿鲜带子,Braised Scallops with Green Vegetables
803,宫保鲜带子,Kung Pao Scallops
804,鸽蛋烧裙边,Braised Turtle Rim with Pigeon Eggs
805,果汁银元带子,Fried Scallops in Fresh Fruit Juice
806,姜葱酥炸生蠔,Deep-Fried Oyster with Ginger and Scallion
807,酱野菌炒胭脂蚌,Sautéed Mussel and Mushrooms in Special Sauce
808,翡翠金银玉带,Sautéed Scallops and Vegetables
809,千层酥烤鲜贝,Baked Scallop Mille Feuille
810,"扇贝（蒜茸蒸,XO炒,豉汁蒸)","Scallop in Shell (Steamed with Garlic, Sautéed with XO Sauce or Steamed with Black Bean Sauce)"
811,碳烧元贝,BBQ Scallops
812,铁板酱爆带子,Grilled Scallops with Chili and Vegetables Served on a Sizzling Iron Plate
813,夏果澳带,Sautéed Scallops with Macadamia Nuts
814,鲜果玉带虾,Fried Scallops and Shrimps with Fresh Fruit
815,珍宝炒带子,Sautéed Scallops with Cashew Nuts
816,干煎带鱼,Deep-Fried Hairtail
817,多宝鱼（清蒸，豉汁蒸 过桥）,"Turbot (Steamed, Steamed with Black Bean Sauce, Boiled)"
818,芝麻炸多春鱼,Fried Shisamo with Sesame
819,脆炸桂鱼,Fried Crispy Mandarin Fish
820,干烧桂鱼,Dry-Braised Mandarin Fish
821,"桂鱼（清蒸,油浸,松子炸)","Mandarin Fish (Steamed, Fried, Fried with Pine Nuts)"
822,清蒸桂鱼,Steamed Mandarin Fish
823,松鼠桂鱼,Sweet and Sour Mandarin Fish
824,豆腐烧鱼,Fried Fish with Tofu
825,百花酿辽参,Steamed Sea Cucumber Stuffed with Minced Shrimps
826,葱爆海参条,Sautéed Sea Cucumber with Scallion
827,葱烧海参,Braised Sea Cucumber with Scallion
828,高汤京葱扒刺参,Braised Sea Cucumber with Scallion
829,海参鹅掌煲,Braised Goose Webs with Sea Cucumber in Casserole
830,蚝汁辽参扣鸭掌,Braised Sea Cucumber with Duck Webs in Oyster Sauce
831,红烧牛头扣辽参,Braised Sea Cucumber with Ox Head
832,京葱扣辽参,Braised Sea Cucumber with Scallion
833,京葱虾籽烧辽参,Sautéed Sea Cucumber with Shrimp Roe and Scallion
834,木瓜腰豆煮海参,Braised Sea Cucumber with Kidney Beans and Papaya
835,生焗海参煲,Braised Sea Cucumber in Casserole
836,双虾海参煲,Sea Cucumber and Shrimp in Casserole
837,虾仔烧海参,Sea Cucumber with Shrimp Roe
838,山东海参,"Sea Cucumber Soup, Shandong Style"
839,XO酱莲藕炒海螺片,Sautéed Sliced Sea Whelks and Lotus Root in XO Sauce
840,东古一品螺,Sautéed Whelks in Soy Sauce
841,麻辣响螺片,Sautéed Sliced Sea Whelks in Hot and Spicy Sauce
842,响螺烧梅花参,Braised Sea Whelks and Sea Cucumber
843,海鲜脆皮豆腐,Fried Tofu with Seafood
844,海鲜豆腐,Braised Tofu with Seafood
845,海鲜粉丝煲,Assorted Seafood with Vermicelli in Casserole
846,海竹笙煮双鲜,Boiled Seafood with Bamboo Fungus
847,红花汁烩海鲜,Braised Seafood in Saffron Sauce
848,夏果海鲜,Sautéed Seafood with Macadamia Nuts
849,黄立仓（豉汁蒸，干煎，红烧）,"Pomfret(Steamed in Black Bean Sauce, Pan-Fried or Braised)"
850,红烧小黄鱼豆腐,Braised Small Yellow Croakers and Tofu
851,竹笋黄鱼汤,Stewed Yellow Croaker and Bamboo Shoots Soup
852,葱焅河鲫鱼,Braised Crucian Carp with Scallion
853,竹香鲫鱼,Fried Crucian Carp with Bamboo Flavor
854,白汁拆烩鲢鱼头,Stewed Silver Carp Head in Cream Sauce
855,豉油王蒸鲈鱼,Steamed Perch in Black Bean Sauce
856,莼菜鲈鱼烩,Stewed Perch with Water Shield Leaves
857,豆瓣鲈鱼,Braised Perch in Soy Bean Paste
858,锅仔雪菜鲈鱼,Stewed Perch with Preserved Vegetable
859,"鲈鱼（清蒸，红烧,锅仔泡椒煮）","Perch (Steamed, Braised, Stewed with Marinated Chili)"
860,蜜汁蒸鲈鱼,Steamed Perch Fillet in Honey Sauce
861,烧烤鲈鱼片,Char-Grilled Perch Fillet
862,香滑鲈鱼球,Sautéed Perch Balls
863,豉椒鳗鱼丝,Sautéed Shredded Eel with Peppers in Black Bean Sauce
864,烧汁鳗鱼条,Sautéed Eel in Spicy Sauce
865,生炒鳗片,Sautéed Sliced Eel
866,蒜香鳗片,Sautéed Sliced Eel with Garlic
867,碳烧鳗鱼,BBQ Eel
868,雪菜墨鱼丝,Sautéed Shredded Cuttlefish with Preserved Vegetable
869,鲶鱼烧茄子,Braised Cat Fish with Eggplant
870,白灵菇扣裙边,Braised Mushrooms with Turtle Rim
871,白汁烧裙边,Stewed Turtle Rim in Cream Sauce
872,百花酿蟹钳,Fried Crab Claws Stuffed with Minced Shrimp
873,冰糖甲鱼,Steamed Turtle in Rock Sugar Soup
874,炒蟹,Sautéed Crab
875,虫草蒸裙边,Steamed Turtle Rim with Aweto
876,葱姜肉蟹,Sautéed Crab with Ginger and Scallion
877,羔蟹（花雕酒蒸，姜葱炒，椒盐）,"Green Crab(Steamed in Yellow Wine, Fried with Ginger and Scallion or Fried with Spiced Salt)"
878,枸杞蒸裙边,Steamed Turtle Rim in Chinese Wolfberry Soup
879,黑椒炒甲鱼,Sautéed Turtle with Black Pepper Sauce
880,红花蟹（潮式冻蟹，清蒸，姜葱炒）,"Spotted Sea Crab(Cold, Steamed, Stir-Fried with Ginger and Scallion)"
881,红烧甲鱼,Braised Turtle in Brown Sauce
882,淮山圆肉炖甲鱼,Braised Turtle with Yam and Longan
883,黄金雪蛤酿蟹盖,Baked Crab Shell Stuffed with Hasma and Salted Egg Yolk
884,甲鱼烧肉,Braised Turtle with Diced Pork
885,辣酒煮花蟹,Boiled Crab with Chili in Liquor
886,龙须蟹枣,Fried Crab Meat
887,清炖甲鱼汤,Stewed Turtle in Broth
888,清蒸甲鱼,Steamed Turtle
889,肉蟹（姜葱炒，清蒸，椒盐）,"Hardshell Crab(Stir-Fried with Ginger and Scallion,  Steamed, Fried with Spiced Salt)"
890,松茸裙边,Braised Turtle Rim with Mushrooms
891,土茯苓炖山龟,Stewed Turtle with Sarsaparilla
892,香辣蟹,Sautéed Crab in Hot and Spicy Sauce
893,洋参炖甲鱼,Stewed Turtle with American Ginseng
894,油酱毛蟹,Braised River Crab with Soy Bean Paste
895,蟹黄一品锅,Stewed Tofu with Crab Roe
896,原笼糯米蒸蟹,Steamed Crab with Gultinous Rice Served in Bamboo Steamer
897,西柠三文鱼排,Grilled Salmon Steak with Lemon
898,杭椒虾爆鳝,Sautéed Eel and Prawns with Hot Green Pepper
899,家乡鳝鱼,Sautéed Eel with Hot and Green Pepper
900,金蒜脆鳝球,Deep-Fried Eel Balls with Garlic
901,清炒鳝糊,Sautéed Shredded Eel
902,砂锅豉香鳝,Braised Eel in Black Bean Sauce in Casserole
903,铁板沙爹鳝球,Sautéed Eel in Satay Sauce Served on a Sizzling Iron Plate
904,鱼香炒鳝丝,Yu-Shiang Shredded Eel (Sautéed with Spicy Garlic Sauce)
905,五香脆鳝,Sautéed Shredded Eel with Spicy Sauce
906,咸菜大鳝煲,Stewed Eel with Preserved Vegetables in Casserole
907,香油蟮糊,Braised Shredded Eel with Sesame Oil
908,红烧长江鲥鱼,Braised Hilsa Herring
909,XO酱虾子肉松茄子煲,Braised Eggplant with Shrimps and Minced Pork in XO Sauce
